id	cat_url	cod	cod_n	stat	stat_n
c1500	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362740	^^^	^^^	^^^	^^^
c1501	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362741	^^^	^^^	^^^	^^^
c1502	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362742	^^^	^^^	^^^	^^^
c1503	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362743	^^^	^^^	^^^	^^^
c1504	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362744	^^^	^^^	^^^	^^^
c1505	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362745	^^^	^^^	^^^	^^^
c1506	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362746	^^^	^^^	^^^	^^^
c1507	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362747	^^^	^^^	^^^	^^^
c1508	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362749	^^^	^^^	^^^	^^^
c1509	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362750	^^^	^^^	^^^	^^^
c1510	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362751	^^^	^^^	^^^	^^^
c1511	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362752	^^^	^^^	^^^	^^^
c1512	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364786	^^^	^^^	^^^	^^^
c1513	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364787	^^^	^^^	^^^	^^^
c1514	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364788	^^^	^^^	^^^	^^^
c1515	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364789	^^^	^^^	^^^	^^^
c1516	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364790	^^^	^^^	^^^	^^^
c1517	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364791	^^^	^^^	^^^	^^^
c1518	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364792	^^^	^^^	^^^	^^^
c1519	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364793	^^^	^^^	^^^	^^^
c1520	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364794	^^^	^^^	^^^	^^^
c1521	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364795	^^^	^^^	^^^	^^^
c1522	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364796	^^^	^^^	^^^	^^^
c1523	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364797	^^^	^^^	^^^	^^^
c1524	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364798	^^^	^^^	^^^	^^^
